ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor(s),Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,CombinedWith,Description
15907,CS,1112,2,Lecture,3,Nada Basit,MoWeFr 2:00pm - 3:15pm,Olsson Hall 018,Introduction to Programming,,Open,0,85,0,,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. Prerequisite: Students must have no previous programming experience. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses. Students may not enroll if CS 2100 or CS 3140 has been completed."
15765,CS,2100,1,Lecture,4,Briana Morrison,MoWeFr 1:00pm - 1:50pm,Gilmer Hall 301,Data Structures and Algorithms 1,,Open,0,300,0,,"A second course in computing with an emphasis on foundational data structures and program analysis. The course provides a introduction to object oriented programming and the Java programming language, concurrency, and inheritance / polymorphism. Additionally, foundational data structures and related algorithms / analysis are studied. These include lists, stacks, queues, trees, hash tables, and priority queues. Prereq: CS 1110 or CS 1111 or CS 1112 or CS 1113 or place out test for CS 1110 or CS 2100"
15766,CS,2100,2,Lecture,4,Briana Morrison,MoWeFr 11:00am - 11:50am,Rice Hall 130,Data Structures and Algorithms 1,,Open,0,140,0,,"A second course in computing with an emphasis on foundational data structures and program analysis. The course provides a introduction to object oriented programming and the Java programming language, concurrency, and inheritance / polymorphism. Additionally, foundational data structures and related algorithms / analysis are studied. These include lists, stacks, queues, trees, hash tables, and priority queues. Prereq: CS 1110 or CS 1111 or CS 1112 or CS 1113 or place out test for CS 1110 or CS 2100"
15767,CS,2100,101,Laboratory,0,Briana Morrison,Mo 3:30pm - 5:15pm,Olsson Hall 018,Data Structures and Algorithms 1,,Open,0,90,0,,"A second course in computing with an emphasis on foundational data structures and program analysis. The course provides a introduction to object oriented programming and the Java programming language, concurrency, and inheritance / polymorphism. Additionally, foundational data structures and related algorithms / analysis are studied. These include lists, stacks, queues, trees, hash tables, and priority queues. Prereq: CS 1110 or CS 1111 or CS 1112 or CS 1113 or place out test for CS 1110 or CS 2100"
15769,CS,2100,102,Laboratory,0,Briana Morrison,Mo 3:30pm - 5:15pm,Rice Hall 130,Data Structures and Algorithms 1,,Open,0,150,0,,"A second course in computing with an emphasis on foundational data structures and program analysis. The course provides a introduction to object oriented programming and the Java programming language, concurrency, and inheritance / polymorphism. Additionally, foundational data structures and related algorithms / analysis are studied. These include lists, stacks, queues, trees, hash tables, and priority queues. Prereq: CS 1110 or CS 1111 or CS 1112 or CS 1113 or place out test for CS 1110 or CS 2100"
15770,CS,2100,103,Laboratory,0,Briana Morrison,Mo 5:30pm - 7:15pm,Olsson Hall 018,Data Structures and Algorithms 1,,Open,0,90,0,,"A second course in computing with an emphasis on foundational data structures and program analysis. The course provides a introduction to object oriented programming and the Java programming language, concurrency, and inheritance / polymorphism. Additionally, foundational data structures and related algorithms / analysis are studied. These include lists, stacks, queues, trees, hash tables, and priority queues. Prereq: CS 1110 or CS 1111 or CS 1112 or CS 1113 or place out test for CS 1110 or CS 2100"
15771,CS,2100,104,Laboratory,0,Briana Morrison,Mo 5:30pm - 7:15pm,Rice Hall 130,Data Structures and Algorithms 1,,Open,0,150,0,,"A second course in computing with an emphasis on foundational data structures and program analysis. The course provides a introduction to object oriented programming and the Java programming language, concurrency, and inheritance / polymorphism. Additionally, foundational data structures and related algorithms / analysis are studied. These include lists, stacks, queues, trees, hash tables, and priority queues. Prereq: CS 1110 or CS 1111 or CS 1112 or CS 1113 or place out test for CS 1110 or CS 2100"
15667,CS,2120,1,Lecture,3,Rohan Chandra,TuTh 11:00am - 12:15pm,Olsson Hall 005,Discrete Mathematics and Theory 1,,Open,0,80,0,,"Introduces discrete mathematics and proof techniques involving first order predicate logic and induction. Application areas include sets, tuples, functions, relations, and combinatorial problems. Prereq: Must have completed CS 1110 or CS 1111 or CS 1112 or CS 1113 with a grade of C- or better OR successfully completed the CS 1110 or CS 2100 place out test."
15668,CS,2120,2,Lecture,3,Kevin Sullivan,TuTh 12:30pm - 1:45pm,Olsson Hall 120,Discrete Mathematics and Theory 1,,Open,0,140,0,,"Introduces discrete mathematics and proof techniques involving first order predicate logic and induction. Application areas include sets, tuples, functions, relations, and combinatorial problems. Prereq: Must have completed CS 1110 or CS 1111 or CS 1112 or CS 1113 with a grade of C- or better OR successfully completed the CS 1110 or CS 2100 place out test."
15669,CS,2120,3,Lecture,3,To Be Announced,MoWeFr 2:00pm - 2:50pm,Rice Hall 130,Discrete Mathematics and Theory 1,,Open,0,140,0,,"Introduces discrete mathematics and proof techniques involving first order predicate logic and induction. Application areas include sets, tuples, functions, relations, and combinatorial problems. Prereq: Must have completed CS 1110 or CS 1111 or CS 1112 or CS 1113 with a grade of C- or better OR successfully completed the CS 1110 or CS 2100 place out test."
15793,CS,2130,1,Lecture,4,Robbie Hott,MoWeFr 1:00pm - 1:50pm,Wilson Hall 402,Computer Systems and Organization 1,,Open,0,300,0,,"This course covers topics on the computer architecture abstraction hierarchy ranging from a step above silicon to a step below modern programming languages. Students in this course will learn to write low-level code in C and Assembly, how data is stored in memory, the basics of hardware design from gates and registers through general-purpose computers, and legal, ethical, and security issues related to these topics. CS 1100 - CS 1199 and either familiarity with Java, C++, or another C-like language, or concurrent enrollment in CS 2100"
15794,CS,2130,2,Lecture,4,Robbie Hott,MoWeFr 12:00pm - 12:50pm,Olsson Hall 120,Computer Systems and Organization 1,,Open,0,140,0,,"This course covers topics on the computer architecture abstraction hierarchy ranging from a step above silicon to a step below modern programming languages. Students in this course will learn to write low-level code in C and Assembly, how data is stored in memory, the basics of hardware design from gates and registers through general-purpose computers, and legal, ethical, and security issues related to these topics. CS 1100 - CS 1199 and either familiarity with Java, C++, or another C-like language, or concurrent enrollment in CS 2100"
15795,CS,2130,101,Laboratory,0,Robbie Hott,Tu 9:30am - 10:45am,Olsson Hall 018,Computer Systems and Organization 1,,Open,0,88,0,,"This course covers topics on the computer architecture abstraction hierarchy ranging from a step above silicon to a step below modern programming languages. Students in this course will learn to write low-level code in C and Assembly, how data is stored in memory, the basics of hardware design from gates and registers through general-purpose computers, and legal, ethical, and security issues related to these topics. CS 1100 - CS 1199 and either familiarity with Java, C++, or another C-like language, or concurrent enrollment in CS 2100"
15796,CS,2130,102,Laboratory,0,Robbie Hott,Tu 11:00am - 12:15pm,Olsson Hall 018,Computer Systems and Organization 1,,Open,0,88,0,,"This course covers topics on the computer architecture abstraction hierarchy ranging from a step above silicon to a step below modern programming languages. Students in this course will learn to write low-level code in C and Assembly, how data is stored in memory, the basics of hardware design from gates and registers through general-purpose computers, and legal, ethical, and security issues related to these topics. CS 1100 - CS 1199 and either familiarity with Java, C++, or another C-like language, or concurrent enrollment in CS 2100"
15797,CS,2130,103,Laboratory,0,Robbie Hott,Tu 12:30pm - 1:45pm,Olsson Hall 018,Computer Systems and Organization 1,,Open,0,88,0,,"This course covers topics on the computer architecture abstraction hierarchy ranging from a step above silicon to a step below modern programming languages. Students in this course will learn to write low-level code in C and Assembly, how data is stored in memory, the basics of hardware design from gates and registers through general-purpose computers, and legal, ethical, and security issues related to these topics. CS 1100 - CS 1199 and either familiarity with Java, C++, or another C-like language, or concurrent enrollment in CS 2100"
15798,CS,2130,104,Laboratory,0,Robbie Hott,Tu 2:00pm - 3:15pm,Olsson Hall 018,Computer Systems and Organization 1,,Open,0,88,0,,"This course covers topics on the computer architecture abstraction hierarchy ranging from a step above silicon to a step below modern programming languages. Students in this course will learn to write low-level code in C and Assembly, how data is stored in memory, the basics of hardware design from gates and registers through general-purpose computers, and legal, ethical, and security issues related to these topics. CS 1100 - CS 1199 and either familiarity with Java, C++, or another C-like language, or concurrent enrollment in CS 2100"
15799,CS,2130,105,Laboratory,0,Robbie Hott,Tu 3:30pm - 4:45pm,Olsson Hall 018,Computer Systems and Organization 1,,Open,0,88,0,,"This course covers topics on the computer architecture abstraction hierarchy ranging from a step above silicon to a step below modern programming languages. Students in this course will learn to write low-level code in C and Assembly, how data is stored in memory, the basics of hardware design from gates and registers through general-purpose computers, and legal, ethical, and security issues related to these topics. CS 1100 - CS 1199 and either familiarity with Java, C++, or another C-like language, or concurrent enrollment in CS 2100"
15800,CS,2130,106,Laboratory,0,Robbie Hott,Tu 5:00pm - 6:15pm,Olsson Hall 018,Computer Systems and Organization 1,,Wait List,0,0,0,,"This course covers topics on the computer architecture abstraction hierarchy ranging from a step above silicon to a step below modern programming languages. Students in this course will learn to write low-level code in C and Assembly, how data is stored in memory, the basics of hardware design from gates and registers through general-purpose computers, and legal, ethical, and security issues related to these topics. CS 1100 - CS 1199 and either familiarity with Java, C++, or another C-like language, or concurrent enrollment in CS 2100"
19600,CS,2501,1,Lecture,1,Briana Morrison,We 5:00pm - 6:15pm,Olsson Hall 005,Special Topics in Computer Science,Preparing for Undergraduate Research,Open,0,80,0,,"Content varies, depending on instructor interests and the needs of the Department. Taught strictly at the undergraduate level. Prerequisite: Instructor permission; additional specific requirements vary with topics."
15215,CS,2910,1,PRA,1,"Nada Basit, Angela Orebaugh",TBA,TBA,CS Education Practicum,,Open,0,130,0,,"An overview of computer science education for undergraduate students. Topics include ethics, diversity, tutoring and teaching techniques, and classroom management. Students enrolled in this course serve as a teaching assistant for a computer science course as part of their coursework."
15790,CS,3100,1,Lecture,3,Aaron Bloomfield,TuTh 9:30am - 10:45am,Wilson Hall 402,Data Structures and Algorithms 2,,Open,0,250,0,,"Builds upon previous analysis of algorithms and the effects of data structures on them. Algorithms selected from areas such as searching, shortest paths, greedy algorithms, backtracking, divide-and-conquer, dynamic programming, and machine learning. Analysis techniques include asymptotic worst case, expected time, amortized analysis, and reductions. Prerequisites: CS 2100 & CS 2120; APMA 1090 or MATH 1310 or MATH 1210 or equivalent. CS 3140 is recommended."
15791,CS,3100,2,Lecture,3,Mark Floryan,TuTh 11:00am - 12:15pm,John W. Warner Hall 209,Data Structures and Algorithms 2,,Open,0,150,0,,"Builds upon previous analysis of algorithms and the effects of data structures on them. Algorithms selected from areas such as searching, shortest paths, greedy algorithms, backtracking, divide-and-conquer, dynamic programming, and machine learning. Analysis techniques include asymptotic worst case, expected time, amortized analysis, and reductions. Prerequisites: CS 2100 & CS 2120; APMA 1090 or MATH 1310 or MATH 1210 or equivalent. CS 3140 is recommended."
15961,CS,3120,1,Lecture,3,Mark Floryan,TuTh 9:30am - 10:45am,Olsson Hall 120,Discrete Mathematics and Theory 2,,Open,0,148,0,,"The goal of this course is to understand the fundamental limits on what can be efficiently computed. These limits reveal properties about information, communication, and computing, as well as practical issues about how to solve problems. Introduces computation theory including grammars, automata, and Turing machines. Prereq: CS 3100 with a grade of C- or better"
16163,CS,3120,2,Lecture,3,Raymond Pettit,TuTh 3:30pm - 4:45pm,Olsson Hall 120,Discrete Mathematics and Theory 2,,Open,0,148,0,,"The goal of this course is to understand the fundamental limits on what can be efficiently computed. These limits reveal properties about information, communication, and computing, as well as practical issues about how to solve problems. Introduces computation theory including grammars, automata, and Turing machines. Prereq: CS 3100 with a grade of C- or better"
15909,CS,3130,1,Lecture,4,Daniel Graham,TuTh 11:00am - 12:15pm,Gilmer Hall 301,Computer Systems and Organization 2,,Open,0,250,0,,"A second course in computer systems, this course will explore a more realistic model of processors and how they and the operating system work together to provide various functionality we depend on as application programmers. Course topics include permission models, system architecture, concurrency, virtual memory, cryptographic primitives, and TCP/IP networking. Prereq CS 2100 and CS 2130 with a grade of C- or better"
16164,CS,3130,2,Lecture,4,Kevin Skadron,TuTh 2:00pm - 3:15pm,Rice Hall 130,Computer Systems and Organization 2,,Open,0,150,0,,"A second course in computer systems, this course will explore a more realistic model of processors and how they and the operating system work together to provide various functionality we depend on as application programmers. Course topics include permission models, system architecture, concurrency, virtual memory, cryptographic primitives, and TCP/IP networking. Prereq CS 2100 and CS 2130 with a grade of C- or better"
15910,CS,3130,101,Laboratory,0,Daniel Graham,We 3:30pm - 4:45pm,Olsson Hall 018,Computer Systems and Organization 2,,Open,0,90,0,,"A second course in computer systems, this course will explore a more realistic model of processors and how they and the operating system work together to provide various functionality we depend on as application programmers. Course topics include permission models, system architecture, concurrency, virtual memory, cryptographic primitives, and TCP/IP networking. Prereq CS 2100 and CS 2130 with a grade of C- or better"
15911,CS,3130,102,Laboratory,0,Daniel Graham,We 3:30pm - 4:45pm,Rice Hall 130,Computer Systems and Organization 2,,Open,0,150,0,,"A second course in computer systems, this course will explore a more realistic model of processors and how they and the operating system work together to provide various functionality we depend on as application programmers. Course topics include permission models, system architecture, concurrency, virtual memory, cryptographic primitives, and TCP/IP networking. Prereq CS 2100 and CS 2130 with a grade of C- or better"
15912,CS,3130,103,Laboratory,0,Daniel Graham,We 5:00pm - 6:15pm,Olsson Hall 018,Computer Systems and Organization 2,,Open,0,90,0,,"A second course in computer systems, this course will explore a more realistic model of processors and how they and the operating system work together to provide various functionality we depend on as application programmers. Course topics include permission models, system architecture, concurrency, virtual memory, cryptographic primitives, and TCP/IP networking. Prereq CS 2100 and CS 2130 with a grade of C- or better"
15913,CS,3130,104,Laboratory,0,Daniel Graham,We 5:00pm - 6:15pm,Rice Hall 130,Computer Systems and Organization 2,,Open,0,150,0,,"A second course in computer systems, this course will explore a more realistic model of processors and how they and the operating system work together to provide various functionality we depend on as application programmers. Course topics include permission models, system architecture, concurrency, virtual memory, cryptographic primitives, and TCP/IP networking. Prereq CS 2100 and CS 2130 with a grade of C- or better"
15772,CS,3140,1,Lecture,3,Rich Nguyen,TuTh 3:30pm - 4:45pm,Wilson Hall 402,Software Development Essentials,,Open,0,300,0,,"A first course in software engineering and software construction, this course focuses on bringing the programming concepts learned in a first course in data structures and algorithms together to begin to teach students how to build more complex systems. The course covers introductory topics in testing, software design principles, design patterns, functional programming, and data storage and manipulation. Completed CS 2100 with a C- or better."
16165,CS,3140,2,Lecture,3,Rich Nguyen,TuTh 2:00pm - 3:15pm,Olsson Hall 120,Software Development Essentials,,Open,0,148,0,,"A first course in software engineering and software construction, this course focuses on bringing the programming concepts learned in a first course in data structures and algorithms together to begin to teach students how to build more complex systems. The course covers introductory topics in testing, software design principles, design patterns, functional programming, and data storage and manipulation. Completed CS 2100 with a C- or better."
16370,CS,3205,1,Lecture,3,Panagiotis Apostolellis,MoWe 2:00pm - 3:15pm,Physics Bldg 238,HCI in Software Development,,Open,0,80,0,,"Human-computer interaction and user-centered design in the context of software engineering. Examines the fundamental principles of human-computer interaction. Includes evaluating a system's usability based on well-defined criteria; user and task analysis, as well as conceptual models and metaphors; the use of prototyping for evaluating design alternatives; and physical design of software user-interfaces, including windows, menus, and commands.Prerequisite: CS 2110 or CS 2100 with a grade of C- or better"
15008,CS,3240,1,Lecture,3,Mark Sherriff,TuTh 9:30am - 10:45am,Rice Hall 130,Software Engineering,,Open,0,145,0,,"Analyzes modern software engineering practice for multi-person projects; methods for requirements specification, design, implementation, verification, and maintenance of large software systems; advanced software development techniques and large project management approaches; project planning, scheduling, resource management, configuration control, and documentation. Prerequisite: CS 2150 or CS 3140 with a grade of C- or better"
15792,CS,3240,2,Lecture,3,Derrick Stone,TuTh 12:30pm - 1:45pm,Rice Hall 130,Software Engineering,,Open,0,145,0,,"Analyzes modern software engineering practice for multi-person projects; methods for requirements specification, design, implementation, verification, and maintenance of large software systems; advanced software development techniques and large project management approaches; project planning, scheduling, resource management, configuration control, and documentation. Prerequisite: CS 2150 or CS 3140 with a grade of C- or better"
15031,CS,3240,101,Laboratory,0,Mark Sherriff,TBA,TBA,Software Engineering,,Open,0,300,0,,"Analyzes modern software engineering practice for multi-person projects; methods for requirements specification, design, implementation, verification, and maintenance of large software systems; advanced software development techniques and large project management approaches; project planning, scheduling, resource management, configuration control, and documentation. Prerequisite: CS 2150 or CS 3140 with a grade of C- or better"
19601,CS,3250,1,Lecture,3,Upsorn Praphamontripong,MoWeFr 11:00am - 11:50am,Thornton Hall E303,Software Testing,,Open,0,90,0,,"An introduction to testing for assuring software quality. Covers concepts and techniques for testing software, including testing at the unit, module, subsystem, and system levels; automatic and manual techniques for generating and validating test data; the testing process; static vs. dynamic analysis; functional testing; inspections; testing in specific application domains; and reliability assessment.Prerequisite: CS 2150 or (CS 2100 and CS 2120) with a grade of C- or better"
15428,CS,3710,1,Lecture,3,Angela Orebaugh,MoWeFr 10:00am - 10:50am,Olsson Hall 120,Introduction to Cybersecurity,,Open,0,148,0,,"Introduces students to the fields of cybersecurity. Both non-technical issues, such as ethics and policy, and technical issues are covered. Students see and experiment with a wide range of areas within cybersecurity, including: binary exploitation, encryption, digital forensics, networks, and modern threats. Prerequisites: CS 2150 or (CS 2100 or CS 2100 place out test and CS 2130) with a grade of C- or better"
15580,CS,3710,2,Lecture,3,Angela Orebaugh,MoWeFr 11:00am - 11:50am,Olsson Hall 120,Introduction to Cybersecurity,,Open,0,148,0,,"Introduces students to the fields of cybersecurity. Both non-technical issues, such as ethics and policy, and technical issues are covered. Students see and experiment with a wide range of areas within cybersecurity, including: binary exploitation, encryption, digital forensics, networks, and modern threats. Prerequisites: CS 2150 or (CS 2100 or CS 2100 place out test and CS 2130) with a grade of C- or better"
15915,CS,3710,3,Lecture,3,Aaron Bloomfield,TuTh 11:00am - 12:15pm,Rice Hall 130,Introduction to Cybersecurity,,Open,0,150,0,,"Introduces students to the fields of cybersecurity. Both non-technical issues, such as ethics and policy, and technical issues are covered. Students see and experiment with a wide range of areas within cybersecurity, including: binary exploitation, encryption, digital forensics, networks, and modern threats. Prerequisites: CS 2150 or (CS 2100 or CS 2100 place out test and CS 2130) with a grade of C- or better"
16025,CS,4260,1,Lecture,3,Derrick Stone,TuTh 2:00pm - 3:15pm,Olsson Hall 009,Internet Scale Applications,,Open,0,80,0,,"A survey of methods for building large-scale internet websites and mobile apps, with a focus on how theory meets practice. Topics covered include performance engineering, scaling, security, and large team software engineering. Results in students building a working scalable online application. Prerequisites: CS 3240 with a grade of C- or better"
19602,CS,4444,1,Lecture,3,Adwait Jog,TuTh 11:00am - 12:15pm,Olsson Hall 009,Introduction to Parallel Computing,,Open,0,80,0,,"Introduces the student to the basics of high-performance parallel computing and application development for massively parallel processors (e.g., GPUs). The course will also introduce the internal architecture of these parallel processors and its impact on performance. Prerequisite: CS 3100 and CS 3130 with a C- or better."
16166,CS,4457,1,Lecture,3,Charles Reiss,TuTh 2:00pm - 3:15pm,Thornton Hall E303,Computer Networks,,Open,0,80,0,,"A first course in communication networks for upper-level undergraduate students. Topics include the design of modern communication networks; point-to-point and broadcast network solutions; advanced issues such as Gigabit networks; ATM networks; and real-time communications. Cross-listed as ECE 4457. Prerequisite: CS 3330 or CS 2501 topic ""COA 2"" or ECE 3430 or ECE 4435 or ECE 3502 topic ""ECR II"" or CS 3130. Must complete CS courses with a grade of C- or better."
15994,CS,4501,1,Lecture,3,"Arsalan Heydarian, Brad Campbell",MoWe 3:30pm - 4:45pm,Rice Hall 340,Special Topics in Computer Science,Smart and Healthy Buildings,Open,0,2,0,"CS 4501-001, CE 4070-001, CE 6070-001, CS 6501-008","Content varies annually, depending on instructor interests and the needs of the department. Similar to CS 5501 and CS 7501, but taught strictly at the undergraduate level. Prerequisite: Instructor permission; additional specific requirements vary with topics."
15439,CS,4501,2,Lecture,3,Madhur Behl,TuTh 9:30am - 10:45am,Rice Hall 120,Special Topics in Computer Science,"Autonomous Vehicles: Perception,Planning & Control",Open,0,48,0,,"Content varies annually, depending on instructor interests and the needs of the department. Similar to CS 5501 and CS 7501, but taught strictly at the undergraduate level. Prerequisite: Instructor permission; additional specific requirements vary with topics."
20051,CS,4501,3,Lecture,3,Jack Davidson,MoWeFr 2:00pm - 2:50pm,Olsson Hall 005,Special Topics in Computer Science,Introduction to Software Testing,Open,0,75,0,,"Content varies annually, depending on instructor interests and the needs of the department. Similar to CS 5501 and CS 7501, but taught strictly at the undergraduate level. Prerequisite: Instructor permission; additional specific requirements vary with topics."
20056,CS,4501,4,Lecture,3,Sebastian Elbaum,TuTh 9:30am - 10:45am,Olsson Hall 009,Special Topics in Computer Science,TBD,Open,0,76,0,,"Content varies annually, depending on instructor interests and the needs of the department. Similar to CS 5501 and CS 7501, but taught strictly at the undergraduate level. Prerequisite: Instructor permission; additional specific requirements vary with topics."
20315,CS,4501,5,Lecture,3,David Evans,TBA,TBA,Special Topics in Computer Science,TBD,Open,0,30,0,,"Content varies annually, depending on instructor interests and the needs of the department. Similar to CS 5501 and CS 7501, but taught strictly at the undergraduate level. Prerequisite: Instructor permission; additional specific requirements vary with topics."
20358,CS,4501,6,Lecture,3,Tom Fletcher,TuTh 9:30am - 10:45am,Thornton Hall E316,Special Topics in Computer Science,Digital Signal Processing,Open,0,25,0,"ECE 4750-001, ECE 6750-001, CS 4501-006, CS 6501-012","Content varies annually, depending on instructor interests and the needs of the department. Similar to CS 5501 and CS 7501, but taught strictly at the undergraduate level. Prerequisite: Instructor permission; additional specific requirements vary with topics."
20362,CS,4501,7,Lecture,3,Miaomiao Zhang,MoWe 2:00pm - 3:15pm,Thornton Hall E316,Special Topics in Computer Science,Machine Learning in Image Analysis,Open,0,15,0,"ECE 6782-001, ECE 4501-001, CS 4501-007, CS 6501-013","Content varies annually, depending on instructor interests and the needs of the department. Similar to CS 5501 and CS 7501, but taught strictly at the undergraduate level. Prerequisite: Instructor permission; additional specific requirements vary with topics."
20059,CS,4501,8,Lecture,3,Yu Meng,MoWe 2:00pm - 3:15pm,Physics Bldg 338,Special Topics in Computer Science,Natural Language Processing,Open,0,76,0,,"Content varies annually, depending on instructor interests and the needs of the department. Similar to CS 5501 and CS 7501, but taught strictly at the undergraduate level. Prerequisite: Instructor permission; additional specific requirements vary with topics."
20060,CS,4501,9,Lecture,3,Shangtong Zhang,MoWeFr 10:00am - 10:50am,Rice Hall 130,Special Topics in Computer Science,Reinforcement Learning,Open,0,76,0,,"Content varies annually, depending on instructor interests and the needs of the department. Similar to CS 5501 and CS 7501, but taught strictly at the undergraduate level. Prerequisite: Instructor permission; additional specific requirements vary with topics."
16167,CS,4610,1,Lecture,3,Raymond Pettit,MoWeFr 2:00pm - 2:50pm,Olsson Hall 009,Programming Languages,,Open,0,80,0,,Presents the fundamental concepts of programming language design and implementation. Emphasizes language paradigms and implementation issues. Develops working programs in languages representing different language paradigms. Many programs oriented toward language implementation issues. Prerequisite: CS 2150 or (CS 2120 and 3140) with a grade of C- or better
15786,CS,4630,1,Lecture,3,Charles Reiss,TuTh 3:30pm - 4:45pm,Olsson Hall 005,Defense Against the Dark Arts,,Open,0,76,0,,"Viruses, worms, and other malicious software are an ever-increasing threat to computer systems. There is an escalating battle between computer security specialists and the designers of malicious software. This course provides an essential understanding of the techniques used by both sides of the computer security battle. Prerequisite: CS 3710 with a grade of C- or better"
15124,CS,4710,1,Lecture,3,Lu Feng,TuTh 12:30pm - 1:45pm,Olsson Hall 009,Artificial Intelligence,,Open,0,75,0,,"Introduces artificial intelligence. Covers fundamental concepts and techniques and surveys selected application areas. Core material includes state space search, logic, and resolution theorem proving. Application areas may include expert systems, natural language understanding, planning, machine learning, or machine perception. Provides exposure to AI implementation methods, emphasizing programming in Common LISP. Prerequisite: CS 2150 or CS 3100 with a grade of C- or better"
